,data,flag
0,"court agrees to expedite n.f.l.'s appeal the decision means a ruling could be made nearly two months before the regular season begins, time for the sides to work out a deal without delaying the season.",0
1,"no tsunami but fifa's corruption storm rages on though jack warner's threatened soccer ""tsunami"" remains stuck in the doldrums, the corruption storm raging around fifa shows no sign of abating after another extraordinary week for the game's governing body.",0
2,chung backs bin hammam in fifa presidential race mohamed bin hammam received a boost to his campaign to become fifa president when he was backed by his former foe and ex-fifa executive committee member chung mong-joon tuesday.,0
3,rory mcilroy hangs on to slim lead at augusta britain's rory mcilroy was clinging to a one-shot lead midway through the third round at the masters on saturday as the challengers started to make their move.,0
4,"figure skating: south korean skater stumbles, but still leads, in moscow kim yu-na, the olympic champion in vancouver in 2010, was not quite regal in moscow on friday, yet she still led the short program.",0
5,"ryan kesler's tiebreaker gives canucks 3-1 lead on predators ryan kesler broke a tie with a power-play goal at 7:28 of the third period, and the vancouver canucks beat the nashville predators 4-2 on thursday ...",0
6,"marv albert to return as nfl voice; networks bid for olympics in announcing monday that marv albert will call nfl games for his network, cbs sports chairman sean mcmanus noted the albert's ""remarkable longevity."" ...",0
7,"eastern finals: game 7 preview with the best-of-seven eastern conference finals tied 3-3, the boston bruins will host the tampa bay lightning in game 7 friday (8 p.m. et,  ...",0
8,"derrick rose rallies bulls past bucks derrick rose hit three straight shots in the final two minutes, rallying the chicago bulls to a 95-87 victory over the milwaukee bucks on saturday ...",0
9,"africa has record entry for 2014 world cup africa has a record entry for the 2014 world cup finals and the qualification process will begin before the end of the year, the confederation of african football said on tuesday.",0
10,"bin hammam withdraws from fifa presidential race mohamed bin hammam of qatar withdrew his candidacy for the post of fifa president on saturday, one day before he is due to face an ethics committee hearing into bribery allegations.",0
11,"nba game 5 preview: heat at mavericks on thursday a look at the nba finals game 5 matchup between the miami heat and dallas mavericks, thursday in dallas (9 p.m. et).",0
12,"veterinarian urges foundation's overhaul the thoroughbred retirement foundation was completing its review, saying that dr. stacey huntington's evaluation of the horses previously under its care was incomplete.",0
13,houston astros are sold to local businessman the houston astros owner drayton mclane announced monday that he has agreed to sell the team he has owned for 19 years to a group led by the local businessman jim crane.,0
14,"mets seek $200 million for portion of the team the mets' owners are also telling potential bidders they might sell a portion of sny, their cable network, but that such a negotiation would take place separately.",0
15,"andre ethier extends hit streak to 26, but padres top dodgers will venable scored the go-ahead run on a wild pitch by reliever matt guerrier with two outs in the eighth inning, and the san diego padres got ...",0
16,indycar land of opportunity for women racers indycar is the land of opportunity for the world's top women race car drivers who will try to turn sunday's 100th indianapolis 500 into ladies day at the famed brickyard.,0
17,figure skating-japan's ando wins emotional gold japan's miki ando upstaged olympic champion kim yuna to strike gold at the world figure skating championships on saturday and hoped she had lifted the spirits of her devastated nation.,0
18,klitschko wants 50th career knockout against haye world heavyweight champion vladimir klitschko is confident he can unleash his 50th career knockout punch against wba champion briton david haye in july.,0
19,granger's late jumper lifts pacers past knicks danny granger's jumper with 0.3 seconds left gave the indiana pacers a 119-117 victory over the new york knicks on tuesday night.,0
20,providence hires ed cooley providence has hired former fairfield coach ed cooley to replace the fired keno davis.,0
21,heat 'very disappointed' in late game 2 collapse the miami heat have had ample opportunity to watch and re-watch and re-watch to their collapse against dallas mavericks. how many times has heat ...,0
22,"london 2012 unveils ""golden cheesegrater"" olympic torch the london 2012 olympics has unwittingly acquired its first iconic image after unveiling an olympic torch design which looks like a huge cheesegrater on wednesday.",0
23,"roundup: beating friend in playoff, glover ends drought lucas glover beat jonathan byrd for his first win since the 2009 united states open.",0
24,bonds guilty of obstruction of justice barry bonds was convicted of obstructing justice after a trial over whether he lied about taking steroids. but the jury failed to reach a verdict on other counts.,0
25,"ryan breymaier chronicles sailing race around the world ryan breymaier, the only american competing in the barcelona world race, was in fifth place with german boris herrmann on monday and sailing ...",0
26,"nadal, wozniacki win easily at indian wells rafael nadal breezed past american qualifier ryan sweeting 6-3, 6-1 in a third-round match as the second week of the bnp paribas open began  ...",0
27,"canucks' sedin in running to keep hart trophy in the family daniel sedin was among the three finalists named for the hart memorial trophy thursday, giving him a chance to capture the most valuable player award a year after his twin brother and vancouver team mate won the sport's highest individual honor.",0
28,"preakness notes: maximum field expected despite loss of nehro kentucky derby runner-up nehro will skip saturday's preakness and make his next start in the june 11 belmont stakes. despite nehro's absence, ...",0
29,"lightning striking as a team at perfect time if the key to a lengthy postseason run is getting contributions from everyone on the roster, the tampa bay lightning might be primed for big ...",0
30,"rookie's bunt rbi lifts indians over reds 5-4 rookie pinch-hitter ezequiel carrera bunted home shin-soo choo from third base with two outs in the eighth inning, sending the cleveland indians ...",0
31,djokovic wins 41st straight this year novak djokovic added a 41st  consecutive victory to this year's list and wove a competent straight-set victory over richard gasquet of france on sunday at the french open.,0
32,"anthony and knicks can see what might have been the nets, who were in negotiations to acquire carmelo anthony at the n.b.a. trade deadline, visit the knicks on wednesday.",0
33,drake wins first college football game in africa the drake bulldogs and a mexican all-star team made history saturday by playing the first college football game in africa. the bulldogs beat ...,0
34,"connecticut 76, pittsburgh 74: walker carries uconn over pitt at the buzzer kemba walker?s 18-footer as the horn sounded sent connecticut to the big east tournament semifinals.",0
35,"braves' chipper jones plays, tries to avoid surgery chipper jones is 39 years old and a fixture here. he is a good bet to make it to cooperstown. so if he says he can play on a sore right knee, ...",0
36,"with nfl in 'chaos' mode, players say league 'better act quickly' nfl players applied pressure to the league on tuesday as they remained effectively, if not technically, locked out of football activities.",0
