temp,rain_1h,snow_1h,clouds_all,weather_description,traffic_volume,weather_main
288.28,0,0,40,scattered clouds,5545,Clouds
289.36,0,0,75,broken clouds,4516,Clouds
289.58,0,0,90,overcast clouds,4767,Clouds
290.13,0,0,90,overcast clouds,5026,Clouds
291.14,0,0,75,broken clouds,4918,Clouds
291.72,0,0,1,sky is clear,5181,Clear
293.17,0,0,1,sky is clear,5584,Clear
293.86,0,0,1,sky is clear,6015,Clear
294.14,0,0,20,few clouds,5791,Clouds
293.1,0,0,20,few clouds,4770,Clouds
290.97,0,0,20,few clouds,3539,Clouds
289.38,0,0,1,sky is clear,2784,Clear
288.61,0,0,1,sky is clear,2361,Clear
287.16,0,0,1,sky is clear,1529,Clear
285.45,0,0,1,sky is clear,963,Clear
284.63,0,0,1,sky is clear,506,Clear
283.47,0,0,1,sky is clear,321,Clear
281.18,0,0,1,sky is clear,273,Clear
281.09,0,0,1,sky is clear,367,Clear
279.53,0,0,1,sky is clear,814,Clear
278.62,0,0,1,sky is clear,2718,Clear
278.23,0,0,1,sky is clear,5673,Clear
278.12,0,0,1,sky is clear,6511,Clear
282.48,0,0,1,sky is clear,5471,Clear
291.97,0,0,1,sky is clear,5097,Clear
293.23,0,0,1,sky is clear,4887,Clear
294.31,0,0,1,sky is clear,5337,Clear
295.17,0,0,1,sky is clear,5692,Clear
295.13,0,0,1,sky is clear,6137,Clear
293.66,0,0,20,few clouds,4623,Clouds
290.65,0,0,20,few clouds,3591,Clouds
288.19,0,0,20,few clouds,2898,Clouds
287.1,0,0,1,sky is clear,2637,Clear
286.25,0,0,1,sky is clear,1777,Clear
285.26,0,0,1,sky is clear,1015,Clear
284.55,0,0,1,sky is clear,598,Clear
283.47,0,0,1,sky is clear,369,Clear
283.17,0,0,1,sky is clear,312,Clear
282.04,0,0,1,sky is clear,367,Clear
281.69,0,0,1,sky is clear,835,Clear
281.32,0,0,1,sky is clear,2726,Clear
280.74,0,0,1,sky is clear,5689,Clear
280.57,0,0,1,sky is clear,6990,Clear
281.86,0,0,1,sky is clear,5985,Clear
284.98,0,0,1,sky is clear,5309,Clear
289.18,0,0,1,sky is clear,4603,Clear
291.55,0,0,1,sky is clear,4884,Clear
294.97,0,0,1,sky is clear,5104,Clear
296.38,0,0,1,sky is clear,5178,Clear
297.32,0,0,1,sky is clear,5501,Clear
298.17,0,0,1,sky is clear,5713,Clear
298.06,0,0,20,few clouds,6292,Clouds
297.67,0,0,20,few clouds,6057,Clouds
296.36,0,0,40,scattered clouds,4907,Clouds
293.85,0,0,40,scattered clouds,3503,Clouds
292.43,0,0,40,scattered clouds,3037,Clouds
291.77,0,0,75,broken clouds,2822,Clouds
291.36,0,0,75,broken clouds,1992,Clouds
291.12,0,0,75,broken clouds,1166,Clouds
290.63,0,0,75,broken clouds,627,Clouds
